ResourceImportedEventcV,targetCulture,resourceIdentity,sourceRevision,importTimestamp,tenantName,subtenantName,projectName,iD,terminate,exportTimestamp,ResourceExportedEventcV,ExportedSourceRevision,TotalMinutesTaken
rj53hxIjYk6p0wrgpZQdOw.2.1,English,329293,1,9/29/2020 7:55:05 AM,MockTenant,default,DefaultA,1English329293,True,10/5/2020 11:00:45 AM,5p/OrfUHFUaA+ADI+n3gTg.2.1.2,1,8825.66710213167
hyFNuCKUKUysYLWseyehOA.2.1,English,329293,1,9/29/2020 4:25:59 AM,MockTenant,default,DefaultA,1English329293,True,10/5/2020 11:00:45 AM,5p/OrfUHFUaA+ADI+n3gTg.2.1.2,1,9034.75695187833
JayG8zM9uUyWYJG+P78aHQ.2.1,English,329293,1,9/29/2020 8:26:16 AM,MockTenant,default,DefaultA,1English329293,True,10/5/2020 11:00:45 AM,5p/OrfUHFUaA+ADI+n3gTg.2.1.2,1,8794.47573431833
HUTdDmFwrUegBb270DZ7PA.2.1,English,329293,1,9/29/2020 9:35:36 PM,MockTenant,default,DefaultA,1English329293,True,10/5/2020 11:00:45 AM,5p/OrfUHFUaA+ADI+n3gTg.2.1.2,1,8005.14364033167
kEIH87hEB0yj9uwZ48NeOg.2.1,English,329293,1,9/29/2020 4:35:45 PM,MockTenant,default,DefaultA,1English329293,True,10/5/2020 11:00:45 AM,5p/OrfUHFUaA+ADI+n3gTg.2.1.2,1,8305.00309612
pTTYwiQenEiygEhEGFKD7Q.2.1,English,329293,1,9/29/2020 12:55:23 AM,MockTenant,default,DefaultA,1English329293,True,10/5/2020 11:00:45 AM,5p/OrfUHFUaA+ADI+n3gTg.2.1.2,1,9245.37072501333
fATfxEZvEUWDuXGKAmuNQw.2.1,English,329293,1,9/29/2020 7:36:46 PM,MockTenant,default,DefaultA,1English329293,True,10/5/2020 11:00:45 AM,5p/OrfUHFUaA+ADI+n3gTg.2.1.2,1,8123.98899620833
qSbnvwO6BU29/cKRZ+xSbw.2.1,English,329293,1,9/29/2020 3:07:15 PM,MockTenant,default,DefaultA,1English329293,True,10/5/2020 11:00:45 AM,5p/OrfUHFUaA+ADI+n3gTg.2.1.2,1,8393.50304383667
vvaR+L4uXEGMtqwVUjFfpw.2.1,English,329293,1,9/29/2020 9:06:21 PM,MockTenant,default,DefaultA,1English329293,True,10/5/2020 11:00:45 AM,5p/OrfUHFUaA+ADI+n3gTg.2.1.2,1,8034.40148295833
iDQ8pYJnsEWZ3kZdVeNqmA.2.1,English,329293,1,9/29/2020 11:37:37 AM,MockTenant,default,DefaultA,1English329293,True,10/5/2020 11:00:45 AM,5p/OrfUHFUaA+ADI+n3gTg.2.1.2,1,8603.13376746167
+hQZXcOHTE2u11JMkYFMhw.2.1,English,329293,1,9/29/2020 8:36:59 PM,MockTenant,default,DefaultA,1English329293,True,10/5/2020 11:00:45 AM,5p/OrfUHFUaA+ADI+n3gTg.2.1.2,1,8063.75666228
9wt+h5LCOkSrHwHjKn8VLQ.2.1,English,329293,1,9/29/2020 7:25:49 AM,MockTenant,default,DefaultA,1English329293,True,10/5/2020 11:00:45 AM,5p/OrfUHFUaA+ADI+n3gTg.2.1.2,1,8854.937641385
cTd+TOCPrkm4qYSLjRQgtw.2.1,English,329293,1,9/29/2020 8:06:49 PM,MockTenant,default,DefaultA,1English329293,True,10/5/2020 11:00:45 AM,5p/OrfUHFUaA+ADI+n3gTg.2.1.2,1,8093.925329995
m9tPM4bPlEmIVHglU6nMOA.2.1,English,329293,1,9/29/2020 3:27:49 AM,MockTenant,default,DefaultA,1English329293,True,10/5/2020 11:00:45 AM,5p/OrfUHFUaA+ADI+n3gTg.2.1.2,1,9092.93056925
MUcvk5fuD0uDPYz3O4huAg.2.1,English,329293,1,9/29/2020 5:07:33 PM,MockTenant,default,DefaultA,1English329293,True,10/5/2020 11:00:45 AM,5p/OrfUHFUaA+ADI+n3gTg.2.1.2,1,8273.20254148833
uRPWOOs5bUa8AEYcmiXmtg.2.1,English,329293,1,9/29/2020 2:05:20 PM,MockTenant,default,DefaultA,1English329293,True,10/5/2020 11:00:45 AM,5p/OrfUHFUaA+ADI+n3gTg.2.1.2,1,8455.42038876167
gz4h06BhK0WmNuC5v3D3pA.2.1,English,329293,1,9/29/2020 5:25:54 AM,MockTenant,default,DefaultA,1English329293,True,10/5/2020 11:00:45 AM,5p/OrfUHFUaA+ADI+n3gTg.2.1.2,1,8974.85372293667
gp81iMEufU2PUUZICq/BUg.2.1,English,329293,1,9/29/2020 9:26:34 AM,MockTenant,default,DefaultA,1English329293,True,10/5/2020 11:00:45 AM,5p/OrfUHFUaA+ADI+n3gTg.2.1.2,1,8734.18029185333
th5uo23++ECNw9UVlZvqpw.2.1,English,329293,1,9/29/2020 7:06:11 PM,MockTenant,default,DefaultA,1English329293,True,10/5/2020 11:00:45 AM,5p/OrfUHFUaA+ADI+n3gTg.2.1.2,1,8154.56743006
ODtnXuAAKky+GU7tgmAjGg.2.1,English,329293,1,10/2/2020 7:35:48 AM,MockTenant,default,DefaultA,1English329293,True,10/5/2020 11:00:45 AM,5p/OrfUHFUaA+ADI+n3gTg.2.1.2,1,4524.95287953667
ROC0hzbDi0ywbgWyBkNmrQ.2.1,English,329293,1,9/29/2020 4:08:01 PM,MockTenant,default,DefaultA,1English329293,True,10/5/2020 11:00:45 AM,5p/OrfUHFUaA+ADI+n3gTg.2.1.2,1,8332.72305009833
e0IR4X/sdUqTPR4Y+AA8NA.2.1,English,329293,1,9/29/2020 3:00:34 AM,MockTenant,default,DefaultA,1English329293,True,10/5/2020 11:00:45 AM,5p/OrfUHFUaA+ADI+n3gTg.2.1.2,1,9120.18923340167
KOijxPgKT0CJbaBW/q5pCw.2.1,English,329293,1,9/29/2020 12:36:41 PM,MockTenant,default,DefaultA,1English329293,True,10/5/2020 11:00:45 AM,5p/OrfUHFUaA+ADI+n3gTg.2.1.2,1,8544.06505412667
Ahimm5p4WUKeGKrq6NA3xw.2.1,English,329293,1,9/29/2020 2:37:23 PM,MockTenant,default,DefaultA,1English329293,True,10/5/2020 11:00:45 AM,5p/OrfUHFUaA+ADI+n3gTg.2.1.2,1,8423.36233114833
HnVY4xco+Uidq9R5GQhNrw.2.1,English,329293,1,9/29/2020 10:06:34 PM,MockTenant,default,DefaultA,1English329293,True,10/5/2020 11:00:45 AM,5p/OrfUHFUaA+ADI+n3gTg.2.1.2,1,7974.17511099667
bJioWqOccE+kLHarjTKmcg.2.1,English,329293,1,9/29/2020 6:26:04 AM,MockTenant,default,DefaultA,1English329293,True,10/5/2020 11:00:45 AM,5p/OrfUHFUaA+ADI+n3gTg.2.1.2,1,8914.68488623667
kek1YqIHD0etkSi+Yp/u4g.2.1,English,329293,1,9/29/2020 5:36:58 PM,MockTenant,default,DefaultA,1English329293,True,10/5/2020 11:00:45 AM,5p/OrfUHFUaA+ADI+n3gTg.2.1.2,1,8243.78695494667
0Ne/Q697xEeGv46x6MW8ag.2.1,English,329293,1,9/29/2020 11:35:15 PM,MockTenant,default,DefaultA,1English329293,True,10/5/2020 11:00:45 AM,5p/OrfUHFUaA+ADI+n3gTg.2.1.2,1,7885.49634016
PTsl9X5fPECf3rVlfnFXQA.2.1,English,329293,1,9/29/2020 4:56:01 AM,MockTenant,default,DefaultA,1English329293,True,10/5/2020 11:00:45 AM,5p/OrfUHFUaA+ADI+n3gTg.2.1.2,1,9004.728929295
GoiHZcqYIEGUf78l468Sww.2.1,English,329293,1,9/29/2020 1:36:00 PM,MockTenant,default,DefaultA,1English329293,True,10/5/2020 11:00:45 AM,5p/OrfUHFUaA+ADI+n3gTg.2.1.2,1,8484.74524733333
XKEc1NHiF0C9zFtMVsd1Qw.2.1,English,329293,1,9/29/2020 1:05:51 PM,MockTenant,default,DefaultA,1English329293,True,10/5/2020 11:00:45 AM,5p/OrfUHFUaA+ADI+n3gTg.2.1.2,1,8514.90443757
gy9vZb8Gm0ydnRXvQ5KQ6g.2.1,English,329293,1,9/29/2020 3:36:32 PM,MockTenant,default,DefaultA,1English329293,True,10/5/2020 11:00:45 AM,5p/OrfUHFUaA+ADI+n3gTg.2.1.2,1,8364.20639967833
H7yCKq1gs0e9dqABhWwwCQ.2.1,English,329293,1,9/29/2020 5:55:29 AM,MockTenant,default,DefaultA,1English329293,True,10/5/2020 11:00:45 AM,5p/OrfUHFUaA+ADI+n3gTg.2.1.2,1,8945.25825314
NFzLbActd0KwHLlTq/vCZA.2.1,English,329293,1,10/3/2020 4:56:52 PM,MockTenant,default,DefaultA,1English329293,True,10/5/2020 11:00:45 AM,5p/OrfUHFUaA+ADI+n3gTg.2.1.2,1,2523.879270415
4KcUFPZcYEu+o4vk9J2u3g.2.1,English,329293,1,10/3/2020 3:46:09 AM,MockTenant,default,DefaultA,1English329293,True,10/5/2020 11:00:45 AM,5p/OrfUHFUaA+ADI+n3gTg.2.1.2,1,3314.60489546333
gAb3VmTZrUiVfqVae5KhmA.2.1,English,329293,1,10/3/2020 4:46:47 AM,MockTenant,default,DefaultA,1English329293,True,10/5/2020 11:00:45 AM,5p/OrfUHFUaA+ADI+n3gTg.2.1.2,1,3253.95872996667
qtGz9+LOl0qxdGdPZRJxEQ.2.1,English,329293,1,10/3/2020 6:47:23 AM,MockTenant,default,DefaultA,1English329293,True,10/5/2020 11:00:45 AM,5p/OrfUHFUaA+ADI+n3gTg.2.1.2,1,3133.37176995
YvW4cHgtVUap60+wONSUKg.2.1,English,329293,1,10/3/2020 9:56:22 PM,MockTenant,default,DefaultA,1English329293,True,10/5/2020 11:00:45 AM,5p/OrfUHFUaA+ADI+n3gTg.2.1.2,1,2224.37363591333
G6NjBlzoQEKF045zVeli+A.2.1,English,329293,1,10/3/2020 8:46:38 AM,MockTenant,default,DefaultA,1English329293,True,10/5/2020 11:00:45 AM,5p/OrfUHFUaA+ADI+n3gTg.2.1.2,1,3014.10684635167
Gfvs/1ldaEiN8I7CVkrUng.2.1,English,329293,1,10/3/2020 6:56:49 PM,MockTenant,default,DefaultA,1English329293,True,10/5/2020 11:00:45 AM,5p/OrfUHFUaA+ADI+n3gTg.2.1.2,1,2403.93651071
V5SF/i5oDkit3YabgDZybw.2.1,English,329293,1,10/3/2020 2:45:49 PM,MockTenant,default,DefaultA,1English329293,True,10/5/2020 11:00:45 AM,5p/OrfUHFUaA+ADI+n3gTg.2.1.2,1,2654.92458236
BQAA3JMc/UCrLBkGG5J2Zw.2.1,English,329293,1,10/3/2020 1:17:22 PM,MockTenant,default,DefaultA,1English329293,True,10/5/2020 11:00:45 AM,5p/OrfUHFUaA+ADI+n3gTg.2.1.2,1,2743.38159347
hxiZDizzZE6h7njVybrKTg.2.1,English,329293,1,10/3/2020 12:45:12 PM,MockTenant,default,DefaultA,1English329293,True,10/5/2020 11:00:45 AM,5p/OrfUHFUaA+ADI+n3gTg.2.1.2,1,2775.55476870667
QIzF9JZhXUK4brrFBScjrw.2.1,English,329293,1,10/3/2020 6:25:01 PM,MockTenant,default,DefaultA,1English329293,True,10/5/2020 11:00:45 AM,5p/OrfUHFUaA+ADI+n3gTg.2.1.2,1,2435.734969225
jx4R4UnFDUWUhBOCZ/l+og.2.1,English,329293,1,10/3/2020 8:16:28 AM,MockTenant,default,DefaultA,1English329293,True,10/5/2020 11:00:45 AM,5p/OrfUHFUaA+ADI+n3gTg.2.1.2,1,3044.27618732667
nxgUMLQRuU2+8tPVpHFW1Q.2.1,English,329293,1,10/3/2020 8:54:33 PM,MockTenant,default,DefaultA,1English329293,True,10/5/2020 11:00:45 AM,5p/OrfUHFUaA+ADI+n3gTg.2.1.2,1,2286.19776751167
